encoder,pca,none,linear,nonlinear_ae,best_projection,best_proxy_MRR,second_best_proxy_MRR,margin_vs_second_best
pubmedbert,0.1947801063803104,0.2264155043924731,0.1825025288589266,0.2302903054968723,nonlinear_ae,0.2302903054968723,0.2264155043924731,0.003874801104399195
biolinkbert,0.1964515585121206,0.20834105776906,0.2038078024343042,0.2621700153205418,nonlinear_ae,0.2621700153205418,0.20834105776906,0.05382895755148179
biomedbert,0.1955202698204744,0.202225943582564,0.1895003550568364,0.1699664823270516,none,0.202225943582564,0.1955202698204744,0.006705673762089581
specter2,0.2152730496874154,0.213772549159658,0.2085136615567321,0.2135343341041293,pca,0.2152730496874154,0.213772549159658,0.001500500527757409
