projection,pubmedbert,biolinkbert,biomedbert,specter2,best_encoder,best_proxy_MRR,second_best_proxy_MRR,margin_vs_second_best
pca,0.1947801063803104,0.1964515585121206,0.1955202698204744,0.2152730496874154,specter2,0.2152730496874154,0.1964515585121206,0.018821491175294802
none,0.2264155043924731,0.20834105776906,0.202225943582564,0.213772549159658,pubmedbert,0.2264155043924731,0.213772549159658,0.012642955232815112
linear,0.1825025288589266,0.2038078024343042,0.1895003550568364,0.2085136615567321,specter2,0.2085136615567321,0.2038078024343042,0.00470585912242788
nonlinear_ae,0.2302903054968723,0.2621700153205418,0.1699664823270516,0.2135343341041293,biolinkbert,0.2621700153205418,0.2302903054968723,0.0318797098236695
