model,group,n,MRR,R@1,R@5,R@10,R@50
TxGNN Oracle Disease Input,Upper bound,78,0.40732635743907786,0.11444879278589686,0.27678488345909164,0.36769233543019303,0.6527237638253468
PageRank,Baseline,78,0.1058501632114768,0.0177045177045177,0.0537349209929855,0.0680479675640965,0.1591436815848555
PubCaseFinder → TxGNN Cascade,Cascade baseline,78,0.1033,0.0249,0.0427,0.0582,0.1007
GPT-3.5,LLM baseline / possible leakage,78,0.2904051077128,0.0512749383439038,0.1388479043792012,0.2041064798935863,0.2986535940668249
R-GCN + Cross-Attention,Proposed model,78,0.246436300060891,0.0427664178788616,0.1248952707083935,0.1834469050757965,0.3307469114407557
R-GCN + LLM (Feature-Level Fusion),LLM fusion,78,0.2468369147776419,0.0427664178788616,0.126393772206895,0.1840296556585471,0.3405657962596405
R-GCN + LLM (Scoring-Level Fusion),LLM fusion,78,0.3114143484192873,0.0720972722097159,0.1469172204003317,0.2112656956194746,0.3924273343534301
R-GCN + LLM (Shallow Aggregated Ranking),LLM fusion / possible leakage,78,0.3706158021674847,0.0669625920750358,0.1609988878558637,0.2456586397013242,0.421053787968033
